,text,level,node,lemmas,pos,stops
938,the population from which the sample of respondents was drawn;,9,"Alberta_Election_Act--Elections,_By‑Elections_and_Plebiscites--3--None--0--Transmission_of_election_survey_results--135.2--1--d","['the', 'population', 'from', 'which', 'the', 'sample', 'of', 'respondent', 'be', 'draw', ';']","['DET', 'NOUN', 'ADP', 'PRON', 'DET', 'NOUN', 'ADP', 'NOUN', 'AUX', 'VERB', 'PUNCT']","[True, False, True, True, True, False, True, False, True, False, False]"
939,No prosecution shall be instituted under this Act without the consent of,8,Alberta_Election_Act--Administrative_Penalties_and_Offences--5--None--0--Consent_to_prosecute--163.1--1,"['no', 'prosecution', 'shall', 'be', 'institute', 'under', 'this', 'Act', 'without', 'the', 'consent', 'of']","['DET', 'NOUN', 'AUX', 'AUX', 'VERB', 'ADP', 'DET', 'PROPN', 'ADP', 'DET', 'NOUN', 'ADP']","[True, False, False, True, False, True, True, False, True, True, False, True]"
940,"which must be the same for all writs in the case of a general election, and",10,"Alberta_Election_Act--Elections,_By‑Elections_and_Plebiscites--3--None--0--Authorization_to_issue_writ_of_election--39--0--b--i","['which', 'must', 'be', 'the', 'same', 'for', 'all', 'writ', 'in', 'the', 'case', 'of', 'a', 'general', 'election', ',', 'and']","['PRON', 'AUX', 'AUX', 'DET', 'ADJ', 'ADP', 'DET', 'NOUN', 'ADP', 'DET', 'NOUN', 'ADP', 'DET', 'ADJ', 'NOUN', 'PUNCT', 'CCONJ']","[True, True, True, True, True, True, True, False, True, True, False, True, True, False, False, False, True]"
941,General evidence,6,Alberta_Election_Act--General--8--None--0--General_evidence,"['general', 'evidence']","['ADJ', 'NOUN']","[False, False]"
942,"On receipt of the certificate of results under subsection (7), the returning officer shall",8,Alberta_Election_Act--Post‑Polling‑Day_Procedures--4--None--0--Appeal_to_Court_of_Appeal--148--8,"['on', 'receipt', 'of', 'the', 'certificate', 'of', 'result', 'under', 'subsection', '(', '7', ')', ',', 'the', 'return', 'officer', 'shall']","['ADP', 'NOUN', 'ADP', 'DET', 'NOUN', 'ADP', 'NOUN', 'ADP', 'NOUN', 'PUNCT', 'NUM', 'PUNCT', 'PUNCT', 'DET', 'VERB', 'NOUN', 'AUX']","[True, False, True, True, False, True, False, True, False, False, False, False, False, True, False, False, False]"
943,bring all ballot boxes and documents required for the purpose of disposing of the matter.,9,Alberta_Election_Act--Post‑Polling‑Day_Procedures--4--None--0--Persons_to_attend_recount--145--1--b,"['bring', 'all', 'ballot', 'box', 'and', 'document', 'require', 'for', 'the', 'purpose', 'of', 'dispose', 'of', 'the', 'matter', '.']","['VERB', 'DET', 'NOUN', 'NOUN', 'CCONJ', 'NOUN', 'VERB', 'ADP', 'DET', 'NOUN', 'ADP', 'VERB', 'ADP', 'DET', 'NOUN', 'PUNCT']","[False, True, False, False, True, False, False, True, True, False, True, False, True, True, False, False]"
944,"the number of electors whose names appear on the list of electors, and",9,"Alberta_Election_Act--Elections,_By‑Elections_and_Plebiscites--3--None--0--Procedure_on_close_of_poll--111--2--a","['the', 'number', 'of', 'elector', 'whose', 'name', 'appear', 'on', 'the', 'list', 'of', 'elector', ',', 'and']","['DET', 'NOUN', 'ADP', 'NOUN', 'DET', 'NOUN', 'VERB', 'ADP', 'DET', 'NOUN', 'ADP', 'NOUN', 'PUNCT', 'CCONJ']","[True, False, True, False, True, False, False, True, True, False, True, False, False, True]"
945,"When a special warrant is prepared and signed under subsection (3) on the basis of a report referred to in subsection (3)(b)(ii), the authority to spend the amount of money specified in the special warrant is, for the purposes of the Financial Administration Act, added to and deemed to be part of the supply vote to which the report relates.",8,Alberta_Election_Act--Appointments--1--None--0--Annual_estimates--7--6,"['when', 'a', 'special', 'warrant', 'be', 'prepare', 'and', 'sign', 'under', 'subsection', '(', '3', ')', 'on', 'the', 'basis', 'of', 'a', 'report', 'refer', 'to', 'in', 'subsection', '(', '3)(b)(ii', ')', ',', 'the', 'authority', 'to', 'spend', 'the', 'amount', 'of', 'money', 'specify', 'in', 'the', 'special', 'warrant', 'be', ',', 'for', 'the', 'purpose', 'of', 'the', 'Financial', 'Administration', 'Act', ',', 'add', 'to', 'and', 'deem', 'to', 'be', 'part', 'of', 'the', 'supply', 'vote', 'to', 'which', 'the', 'report', 'relate', '.']","['SCONJ', 'DET', 'ADJ', 'NOUN', 'AUX', 'VERB', 'CCONJ', 'VERB', 'ADP', 'NOUN', 'PUNCT', 'NUM', 'PUNCT', 'ADP', 'DET', 'NOUN', 'ADP', 'DET', 'NOUN', 'VERB', 'ADP', 'ADP', 'NOUN', 'PUNCT', 'PROPN', 'PUNCT', 'PUNCT', 'DET', 'NOUN', 'PART', 'VERB', 'DET', 'NOUN', 'ADP', 'NOUN', 'VERB', 'ADP', 'DET', 'ADJ', 'NOUN', 'AUX', 'PUNCT', 'ADP', 'DET', 'NOUN', 'ADP', 'DET', 'PROPN', 'PROPN', 'PROPN', 'PUNCT', 'VERB', 'ADP', 'CCONJ', 'VERB', 'PART', 'AUX', 'NOUN', 'ADP', 'DET', 'NOUN', 'NOUN', 'PART', 'PRON', 'DET', 'NOUN', 'VERB', 'PUNCT']","[True, True, False, False, True, False, True, False, True, False, False, False, False, True, True, False, True, True, False, False, True, True, False, False, False, False, False, True, False, True, False, True, True, True, False, False, True, True, False, False, True, False, True, True, False, True, True, False, False, False, False, False, True, True, False, True, True, True, True, True, False, False, True, True, True, False, False, False]"
946,The judge shall retain the ballots for 3 days after certifying the result under subsection (1) and,8,Alberta_Election_Act--Post‑Polling‑Day_Procedures--4--None--0--Results_of_recount--147--3,"['the', 'judge', 'shall', 'retain', 'the', 'ballot', 'for', '3', 'day', 'after', 'certify', 'the', 'result', 'under', 'subsection', '(', '1', ')', 'and']","['DET', 'NOUN', 'AUX', 'VERB', 'DET', 'NOUN', 'ADP', 'NUM', 'NOUN', 'ADP', 'VERB', 'DET', 'NOUN', 'ADP', 'NOUN', 'PUNCT', 'NUM', 'PUNCT', 'CCONJ']","[True, False, False, False, True, False, True, False, False, True, False, True, False, True, False, False, False, False, True]"
947,"The Chief Electoral Officer shall, on request and payment of the cost to produce the information as determined by the Chief Electoral Officer, furnish",8,Alberta_Election_Act--Election_Lists--2--None--2--Distribution_of_lists_of_electors--18--5,"['the', 'Chief', 'Electoral', 'Officer', 'shall', ',', 'on', 'request', 'and', 'payment', 'of', 'the', 'cost', 'to', 'produce', 'the', 'information', 'as', 'determine', 'by', 'the', 'Chief', 'Electoral', 'Officer', ',', 'furnish']","['DET', 'PROPN', 'PROPN', 'PROPN', 'AUX', 'PUNCT', 'ADP', 'NOUN', 'CCONJ', 'NOUN', 'ADP', 'DET', 'NOUN', 'PART', 'VERB', 'DET', 'NOUN', 'SCONJ', 'VERB', 'ADP', 'DET', 'PROPN', 'PROPN', 'PROPN', 'PUNCT', 'VERB']","[True, False, False, False, False, False, True, False, True, False, True, True, False, True, False, True, False, True, False, True, True, False, False, False, False, False]"
948,"correctional institutions under the Corrections Act, penitentiaries under the Corrections and Conditional Release Act (Canada) and places of custody under the Youth Justice Act or the Youth Criminal Justice Act (Canada);",9,"Alberta_Election_Act--Elections,_By‑Elections_and_Plebiscites--3--None--0--Special_mobile_polls--125.1--2--e","['correctional', 'institution', 'under', 'the', 'Corrections', 'Act', ',', 'penitentiary', 'under', 'the', 'Corrections', 'and', 'Conditional', 'Release', 'Act', '(', 'Canada', ')', 'and', 'place', 'of', 'custody', 'under', 'the', 'Youth', 'Justice', 'Act', 'or', 'the', 'Youth', 'Criminal', 'Justice', 'Act', '(', 'Canada', ')', ';']","['ADJ', 'NOUN', 'ADP', 'DET', 'PROPN', 'PROPN', 'PUNCT', 'NOUN', 'ADP', 'DET', 'PROPN', 'CCONJ', 'PROPN', 'PROPN', 'PROPN', 'PUNCT', 'PROPN', 'PUNCT', 'CCONJ', 'NOUN', 'ADP', 'NOUN', 'ADP', 'DET', 'PROPN', 'PROPN', 'PROPN', 'CCONJ', 'DET', 'PROPN', 'PROPN', 'PROPN', 'PROPN', 'PUNCT', 'PROPN', 'PUNCT', 'PUNCT']","[False, False, True, True, False, False, False, False, True, True, False, True, False, False, False, False, False, False, True, False, True, False, True, True, False, False, False, True, True, False, False, False, False, False, False, False, False]"
949,"The deputy returning officer shall immediately write the word “spoiled” on the previous ballot returned to the deputy returning officer under subsection (1) and place it in the required envelope to be sent to the returning officer, and the poll clerk shall annotate the poll book accordingly.",8,"Alberta_Election_Act--Elections,_By‑Elections_and_Plebiscites--3--None--0--Spoiled_ballot--102--2","['the', 'deputy', 'return', 'officer', 'shall', 'immediately', 'write', 'the', 'word', '""', 'spoil', '""', 'on', 'the', 'previous', 'ballot', 'return', 'to', 'the', 'deputy', 'return', 'officer', 'under', 'subsection', '(', '1', ')', 'and', 'place', 'it', 'in', 'the', 'require', 'envelope', 'to', 'be', 'send', 'to', 'the', 'return', 'officer', ',', 'and', 'the', 'poll', 'clerk', 'shall', 'annotate', 'the', 'poll', 'book', 'accordingly', '.']","['DET', 'NOUN', 'VERB', 'NOUN', 'AUX', 'ADV', 'VERB', 'DET', 'NOUN', 'PUNCT', 'VERB', 'PUNCT', 'ADP', 'DET', 'ADJ', 'NOUN', 'VERB', 'ADP', 'DET', 'NOUN', 'VERB', 'NOUN', 'ADP', 'NOUN', 'PUNCT', 'NUM', 'PUNCT', 'CCONJ', 'VERB', 'PRON', 'ADP', 'DET', 'VERB', 'NOUN', 'PART', 'AUX', 'VERB', 'ADP', 'DET', 'VERB', 'NOUN', 'PUNCT', 'CCONJ', 'DET', 'NOUN', 'NOUN', 'AUX', 'VERB', 'DET', 'NOUN', 'NOUN', 'ADV', 'PUNCT']","[True, False, False, False, False, False, False, True, False, False, False, False, True, True, False, False, False, True, True, False, False, False, True, False, False, False, False, True, False, True, True, True, False, False, True, True, False, True, True, False, False, False, True, True, False, False, False, False, True, False, False, False, False]"
950,"in the case of a referendum under the Referendum Act ordered to be held in conjunction with a general election under the Local Authorities Election Act, the period commencing on the later of",10,"Alberta_Election_Act--Elections,_By‑Elections_and_Plebiscites--3--None--0--Restrictions_on_government_advertising--134.1--1--e--ii","['in', 'the', 'case', 'of', 'a', 'referendum', 'under', 'the', 'Referendum', 'Act', 'order', 'to', 'be', 'hold', 'in', 'conjunction', 'with', 'a', 'general', 'election', 'under', 'the', 'Local', 'Authorities', 'Election', 'Act', ',', 'the', 'period', 'commence', 'on', 'the', 'later', 'of']","['ADP', 'DET', 'NOUN', 'ADP', 'DET', 'NOUN', 'ADP', 'DET', 'PROPN', 'PROPN', 'VERB', 'PART', 'AUX', 'VERB', 'ADP', 'NOUN', 'ADP', 'DET', 'ADJ', 'NOUN', 'ADP', 'DET', 'PROPN', 'PROPN', 'PROPN', 'PROPN', 'PUNCT', 'DET', 'NOUN', 'VERB', 'ADP', 'DET', 'NOUN', 'ADP']","[True, True, False, True, True, False, True, True, False, False, False, True, True, False, True, False, True, True, False, False, True, True, False, False, False, False, False, True, False, False, True, True, False, True]"
951,A person who has caused the person’s ballot to be placed in the ballot box is deemed to have voted.,7,"Alberta_Election_Act--Elections,_By‑Elections_and_Plebiscites--3--None--0--Person_deemed_to_have_voted--109","['a', 'person', 'who', 'have', 'cause', 'the', 'person', '’s', 'ballot', 'to', 'be', 'place', 'in', 'the', 'ballot', 'box', 'be', 'deem', 'to', 'have', 'vote', '.']","['DET', 'NOUN', 'PRON', 'AUX', 'VERB', 'DET', 'NOUN', 'PART', 'NOUN', 'PART', 'AUX', 'VERB', 'ADP', 'DET', 'NOUN', 'NOUN', 'AUX', 'VERB', 'PART', 'AUX', 'VERB', 'PUNCT']","[True, False, True, True, False, True, False, True, False, True, True, False, True, True, False, False, True, False, True, True, False, False]"
952,"if no candidate can be declared elected because there is an equality of votes for 2 or more candidates, that the results of the election will be subject to a judicial recount under this Part.",9,Alberta_Election_Act--Post‑Polling‑Day_Procedures--4--None--0--Conduct_of_official_count--137--5--c,"['if', 'no', 'candidate', 'can', 'be', 'declare', 'elect', 'because', 'there', 'be', 'an', 'equality', 'of', 'vote', 'for', '2', 'or', 'more', 'candidate', ',', 'that', 'the', 'result', 'of', 'the', 'election', 'will', 'be', 'subject', 'to', 'a', 'judicial', 'recount', 'under', 'this', 'Part', '.']","['SCONJ', 'DET', 'NOUN', 'AUX', 'AUX', 'VERB', 'VERB', 'SCONJ', 'PRON', 'VERB', 'DET', 'NOUN', 'ADP', 'NOUN', 'ADP', 'NUM', 'CCONJ', 'ADJ', 'NOUN', 'PUNCT', 'SCONJ', 'DET', 'NOUN', 'ADP', 'DET', 'NOUN', 'AUX', 'AUX', 'ADJ', 'ADP', 'DET', 'ADJ', 'NOUN', 'ADP', 'DET', 'PROPN', 'PUNCT']","[True, True, False, True, True, False, False, True, True, True, True, False, True, False, True, False, True, True, False, False, True, True, False, True, True, False, True, True, False, True, True, False, False, True, True, True, False]"
953,repealed 2012 c5 s42;,9,"Alberta_Election_Act--Elections,_By‑Elections_and_Plebiscites--3--None--0--Procedure_on_close_of_poll--111--11--a.1","['repeal', '2012', 'c5', 's42', ';']","['VERB', 'NUM', 'PROPN', 'PROPN', 'PUNCT']","[False, False, False, False, False]"
954,A supervisory deputy returning officer is responsible for,7,"Alberta_Election_Act--Elections,_By‑Elections_and_Plebiscites--3--None--0--Duties_of_supervisory_deputy_returning_officer--77","['a', 'supervisory', 'deputy', 'return', 'officer', 'be', 'responsible', 'for']","['DET', 'ADJ', 'NOUN', 'VERB', 'NOUN', 'AUX', 'ADJ', 'ADP']","[True, False, False, False, False, True, False, True]"
955,"If a returning officer is for any reason unable or unwilling to act, or neglects the returning officer’s duties, the Chief Electoral Officer",8,Alberta_Election_Act--Appointments--1--None--0--Termination_of_appointment_of_returning_officer--10--2,"['if', 'a', 'return', 'officer', 'be', 'for', 'any', 'reason', 'unable', 'or', 'unwilling', 'to', 'act', ',', 'or', 'neglect', 'the', 'return', 'officer', '’s', 'duty', ',', 'the', 'Chief', 'Electoral', 'Officer']","['SCONJ', 'DET', 'VERB', 'NOUN', 'AUX', 'ADP', 'DET', 'NOUN', 'ADJ', 'CCONJ', 'ADJ', 'PART', 'VERB', 'PUNCT', 'CCONJ', 'VERB', 'DET', 'VERB', 'NOUN', 'PART', 'NOUN', 'PUNCT', 'DET', 'PROPN', 'PROPN', 'PROPN']","[True, True, False, False, True, True, True, False, False, True, False, True, False, False, True, False, True, False, False, True, False, False, True, False, False, False]"
956,Any election officer appointed for the electoral division may assist with the duties under subsection (6).,8,"Alberta_Election_Act--Elections,_By‑Elections_and_Plebiscites--3--None--0--Voting_by_Special_Ballot--118--6.1","['any', 'election', 'officer', 'appoint', 'for', 'the', 'electoral', 'division', 'may', 'assist', 'with', 'the', 'duty', 'under', 'subsection', '(', '6', ')', '.']","['DET', 'NOUN', 'NOUN', 'VERB', 'ADP', 'DET', 'ADJ', 'NOUN', 'AUX', 'VERB', 'ADP', 'DET', 'NOUN', 'ADP', 'NOUN', 'PUNCT', 'NUM', 'PUNCT', 'PUNCT']","[True, False, False, False, True, True, False, False, True, False, True, True, False, True, False, False, False, False, False]"
957,"if the person’s name does not appear on any list of electors,",9,"Alberta_Election_Act--Elections,_By‑Elections_and_Plebiscites--3--None--0--Special_mobile_polls--125.1--5--b","['if', 'the', 'person', '’s', 'name', 'do', 'not', 'appear', 'on', 'any', 'list', 'of', 'elector', ',']","['SCONJ', 'DET', 'NOUN', 'PART', 'NOUN', 'AUX', 'PART', 'VERB', 'ADP', 'DET', 'NOUN', 'ADP', 'NOUN', 'PUNCT']","[True, True, False, True, True, True, True, False, True, True, False, True, False, False]"
958,"In conducting an enumeration, the Chief Electoral Officer shall provide maps showing subdivision boundaries for use by the enumerators.",8,Alberta_Election_Act--Election_Lists--2--None--3--Preparation_of_materials_for_enumeration--22--1,"['in', 'conduct', 'an', 'enumeration', ',', 'the', 'Chief', 'Electoral', 'Officer', 'shall', 'provide', 'map', 'show', 'subdivision', 'boundary', 'for', 'use', 'by', 'the', 'enumerator', '.']","['ADP', 'VERB', 'DET', 'NOUN', 'PUNCT', 'DET', 'PROPN', 'PROPN', 'PROPN', 'AUX', 'VERB', 'NOUN', 'VERB', 'NOUN', 'NOUN', 'ADP', 'NOUN', 'ADP', 'DET', 'NOUN', 'PUNCT']","[True, False, True, False, False, True, False, False, False, False, False, False, False, False, False, True, False, True, True, False, False]"
959,The provisions of this Act governing general elections apply with all necessary modifications to by‑elections.,7,"Alberta_Election_Act--Elections,_By‑Elections_and_Plebiscites--3--None--0--Application_of_Act_to_by‑election--127","['the', 'provision', 'of', 'this', 'Act', 'govern', 'general', 'election', 'apply', 'with', 'all', 'necessary', 'modification', 'to', 'by‑election', '.']","['DET', 'NOUN', 'ADP', 'DET', 'PROPN', 'VERB', 'ADJ', 'NOUN', 'VERB', 'ADP', 'DET', 'ADJ', 'NOUN', 'ADP', 'NOUN', 'PUNCT']","[True, False, True, True, False, False, False, False, False, True, True, False, False, True, False, False]"
960,Petition,6,Alberta_Election_Act--Controverted_Elections--7--None--0--Petition,['petition'],['NOUN'],[False]
961,"Where a person displays any circular, card, poster, bill or other paper contrary to subsection (1) or (2), the returning officer may cause it to be removed, and neither the returning officer nor any person acting under the returning officer’s instructions is liable for trespass or damages resulting from or occasioned by the removal.",8,"Alberta_Election_Act--Elections,_By‑Elections_and_Plebiscites--3--None--0--No_election_advertising_at_polling_place--135--3","['where', 'a', 'person', 'display', 'any', 'circular', ',', 'card', ',', 'poster', ',', 'bill', 'or', 'other', 'paper', 'contrary', 'to', 'subsection', '(', '1', ')', 'or', '(', '2', ')', ',', 'the', 'return', 'officer', 'may', 'cause', 'it', 'to', 'be', 'remove', ',', 'and', 'neither', 'the', 'return', 'officer', 'nor', 'any', 'person', 'act', 'under', 'the', 'return', 'officer', '’s', 'instruction', 'be', 'liable', 'for', 'trespass', 'or', 'damage', 'result', 'from', 'or', 'occasion', 'by', 'the', 'removal', '.']","['SCONJ', 'DET', 'NOUN', 'VERB', 'DET', 'ADJ', 'PUNCT', 'NOUN', 'PUNCT', 'NOUN', 'PUNCT', 'NOUN', 'CCONJ', 'ADJ', 'NOUN', 'ADJ', 'ADP', 'NOUN', 'PUNCT', 'NUM', 'PUNCT', 'CCONJ', 'PUNCT', 'NUM', 'PUNCT', 'PUNCT', 'DET', 'VERB', 'NOUN', 'AUX', 'VERB', 'PRON', 'PART', 'AUX', 'VERB', 'PUNCT', 'CCONJ', 'CCONJ', 'DET', 'VERB', 'NOUN', 'CCONJ', 'DET', 'NOUN', 'VERB', 'ADP', 'DET', 'VERB', 'NOUN', 'PART', 'NOUN', 'AUX', 'ADJ', 'ADP', 'NOUN', 'CCONJ', 'NOUN', 'VERB', 'ADP', 'CCONJ', 'VERB', 'ADP', 'DET', 'NOUN', 'PUNCT']","[True, True, False, False, True, False, False, False, False, False, False, False, True, True, False, False, True, False, False, False, False, True, False, False, False, False, True, False, False, True, False, True, True, True, False, False, True, True, True, False, False, True, True, False, False, True, True, False, False, True, False, True, False, True, False, True, False, False, True, True, False, True, True, False, False]"
962,the Chief Electoral Officer shall inform the Lieutenant Governor in Council of the report.,9,Alberta_Election_Act--Controverted_Elections--7--None--0--Report_to_Chief_Electoral_Officer--195--2--b,"['the', 'Chief', 'Electoral', 'Officer', 'shall', 'inform', 'the', 'Lieutenant', 'Governor', 'in', 'Council', 'of', 'the', 'report', '.']","['DET', 'PROPN', 'PROPN', 'PROPN', 'AUX', 'VERB', 'DET', 'PROPN', 'PROPN', 'ADP', 'PROPN', 'ADP', 'DET', 'NOUN', 'PUNCT']","[True, False, False, False, False, False, True, False, False, True, False, True, True, False, False]"
963,"Before entering into a compliance agreement, the Election Commissioner shall require the consent of the prospective contracting party to the publication of a notice under section 153.7.",8,Alberta_Election_Act--Administrative_Penalties_and_Offences--5--None--0--Compliance_agreements--153.4--4,"['before', 'enter', 'into', 'a', 'compliance', 'agreement', ',', 'the', 'Election', 'Commissioner', 'shall', 'require', 'the', 'consent', 'of', 'the', 'prospective', 'contracting', 'party', 'to', 'the', 'publication', 'of', 'a', 'notice', 'under', 'section', '153.7', '.']","['ADP', 'VERB', 'ADP', 'DET', 'NOUN', 'NOUN', 'PUNCT', 'DET', 'PROPN', 'PROPN', 'AUX', 'VERB', 'DET', 'NOUN', 'ADP', 'DET', 'ADJ', 'NOUN', 'NOUN', 'ADP', 'DET', 'NOUN', 'ADP', 'DET', 'NOUN', 'ADP', 'NOUN', 'NUM', 'PUNCT']","[True, False, True, True, False, False, False, True, False, False, False, False, True, False, True, True, False, False, False, True, True, False, True, True, False, True, False, False, False]"
964,the amount of the administrative penalty and the date by which it must be paid;,9,Alberta_Election_Act--Administrative_Penalties_and_Offences--5--None--0--Administrative_penalties--153.1--2--c,"['the', 'amount', 'of', 'the', 'administrative', 'penalty', 'and', 'the', 'date', 'by', 'which', 'it', 'must', 'be', 'pay', ';']","['DET', 'NOUN', 'ADP', 'DET', 'ADJ', 'NOUN', 'CCONJ', 'DET', 'NOUN', 'ADP', 'PRON', 'PRON', 'AUX', 'AUX', 'VERB', 'PUNCT']","[True, True, True, True, False, False, True, True, False, True, True, True, True, True, False, False]"
965,"All other documents and materials, used and unused, relating to the election shall be prepared for return to the Chief Electoral Officer in accordance with the Chief Electoral Officer’s directions.",8,Alberta_Election_Act--Post‑Polling‑Day_Procedures--4--None--0--Transmission_of_election_materials_to_Chief_Electoral_Officer--142--3,"['all', 'other', 'document', 'and', 'material', ',', 'use', 'and', 'unused', ',', 'relate', 'to', 'the', 'election', 'shall', 'be', 'prepare', 'for', 'return', 'to', 'the', 'Chief', 'Electoral', 'Officer', 'in', 'accordance', 'with', 'the', 'Chief', 'Electoral', 'Officer', '’s', 'direction', '.']","['DET', 'ADJ', 'NOUN', 'CCONJ', 'NOUN', 'PUNCT', 'VERB', 'CCONJ', 'ADJ', 'PUNCT', 'VERB', 'ADP', 'DET', 'NOUN', 'AUX', 'AUX', 'VERB', 'ADP', 'NOUN', 'ADP', 'DET', 'PROPN', 'PROPN', 'PROPN', 'ADP', 'NOUN', 'ADP', 'DET', 'PROPN', 'PROPN', 'PROPN', 'PART', 'NOUN', 'PUNCT']","[True, True, False, True, False, False, True, True, False, False, False, True, True, False, False, True, False, True, False, True, True, False, False, False, True, False, True, True, False, False, False, True, False, False]"
966,After the opening of a polling place for an advance poll the deputy returning officer shall take all reasonable precautions to ensure that no other person except the poll clerk has access to the ballot box.,8,"Alberta_Election_Act--Elections,_By‑Elections_and_Plebiscites--3--None--0--Polling_place_for_advance_poll--98--5","['after', 'the', 'opening', 'of', 'a', 'polling', 'place', 'for', 'an', 'advance', 'poll', 'the', 'deputy', 'return', 'officer', 'shall', 'take', 'all', 'reasonable', 'precaution', 'to', 'ensure', 'that', 'no', 'other', 'person', 'except', 'the', 'poll', 'clerk', 'have', 'access', 'to', 'the', 'ballot', 'box', '.']","['ADP', 'DET', 'NOUN', 'ADP', 'DET', 'NOUN', 'NOUN', 'ADP', 'DET', 'NOUN', 'NOUN', 'DET', 'NOUN', 'VERB', 'NOUN', 'AUX', 'VERB', 'DET', 'ADJ', 'NOUN', 'PART', 'VERB', 'SCONJ', 'DET', 'ADJ', 'NOUN', 'SCONJ', 'DET', 'NOUN', 'NOUN', 'VERB', 'NOUN', 'ADP', 'DET', 'NOUN', 'NOUN', 'PUNCT']","[True, True, False, True, True, False, False, True, True, False, False, True, False, False, False, False, True, True, False, False, True, False, True, True, True, False, True, True, False, False, True, False, True, True, False, False, False]"
967,"If an enumerator has visited an assigned residence and found no responsible person there, the enumerator shall leave a form provided by the Chief Electoral Officer at the residence so that any qualified elector residing at the residence may be added to the list of electors.",8,Alberta_Election_Act--Election_Lists--2--None--3--Conducting_an_enumeration--30--8,"['if', 'an', 'enumerator', 'have', 'visit', 'an', 'assign', 'residence', 'and', 'find', 'no', 'responsible', 'person', 'there', ',', 'the', 'enumerator', 'shall', 'leave', 'a', 'form', 'provide', 'by', 'the', 'Chief', 'Electoral', 'Officer', 'at', 'the', 'residence', 'so', 'that', 'any', 'qualified', 'elector', 'reside', 'at', 'the', 'residence', 'may', 'be', 'add', 'to', 'the', 'list', 'of', 'elector', '.']","['SCONJ', 'DET', 'NOUN', 'AUX', 'VERB', 'DET', 'VERB', 'NOUN', 'CCONJ', 'VERB', 'DET', 'ADJ', 'NOUN', 'ADV', 'PUNCT', 'DET', 'NOUN', 'AUX', 'VERB', 'DET', 'NOUN', 'VERB', 'ADP', 'DET', 'PROPN', 'PROPN', 'PROPN', 'ADP', 'DET', 'NOUN', 'SCONJ', 'SCONJ', 'DET', 'ADJ', 'NOUN', 'VERB', 'ADP', 'DET', 'NOUN', 'AUX', 'AUX', 'VERB', 'ADP', 'DET', 'NOUN', 'ADP', 'NOUN', 'PUNCT']","[True, True, False, True, False, True, False, False, True, False, True, False, False, True, False, True, False, False, False, True, False, False, True, True, False, False, False, True, True, False, True, True, True, False, False, False, True, True, False, True, True, False, True, True, False, True, False, False]"
968,"2 maps showing the polling subdivisions in each electoral division, and",10,Alberta_Election_Act--Election_Lists--2--None--2--Distribution_of_lists_of_electors--18--2--a--i,"['2', 'map', 'show', 'the', 'polling', 'subdivision', 'in', 'each', 'electoral', 'division', ',', 'and']","['NUM', 'NOUN', 'VERB', 'DET', 'NOUN', 'NOUN', 'ADP', 'DET', 'ADJ', 'NOUN', 'PUNCT', 'CCONJ']","[False, False, False, True, False, False, True, True, False, False, False, True]"
969,The enumerator may contact the assigned residences in the enumerator’s subdivision only between the hours of 9:00 a.m. and 9:00 p.m.,8,Alberta_Election_Act--Election_Lists--2--None--3--Conducting_an_enumeration--30--7,"['the', 'enumerator', 'may', 'contact', 'the', 'assign', 'residence', 'in', 'the', 'enumerator', '’s', 'subdivision', 'only', 'between', 'the', 'hour', 'of', '9:00', 'a.m.', 'and', '9:00', 'p.m.']","['DET', 'NOUN', 'AUX', 'VERB', 'DET', 'VERB', 'NOUN', 'ADP', 'DET', 'NOUN', 'PART', 'NOUN', 'ADV', 'ADP', 'DET', 'NOUN', 'ADP', 'NUM', 'NOUN', 'CCONJ', 'NUM', 'NOUN']","[True, False, True, False, True, False, False, True, True, False, True, False, True, True, True, False, True, False, False, True, False, False]"
970,"alters, defaces or destroys a ballot or the initials of the deputy returning officer on a ballot,",9,Alberta_Election_Act--Corrupt_Practices--6--None--0--Improper_practices--164--0--a,"['alter', ',', 'deface', 'or', 'destroy', 'a', 'ballot', 'or', 'the', 'initial', 'of', 'the', 'deputy', 'return', 'officer', 'on', 'a', 'ballot', ',']","['VERB', 'PUNCT', 'VERB', 'CCONJ', 'VERB', 'DET', 'NOUN', 'CCONJ', 'DET', 'NOUN', 'ADP', 'DET', 'NOUN', 'VERB', 'NOUN', 'ADP', 'DET', 'NOUN', 'PUNCT']","[False, False, False, True, False, True, False, True, True, False, True, True, False, False, False, True, True, False, False]"
971,the deputy returning officer;,9,"Alberta_Election_Act--Elections,_By‑Elections_and_Plebiscites--3--None--0--Presence_at_mobile_poll--122--1--a","['the', 'deputy', 'return', 'officer', ';']","['DET', 'NOUN', 'VERB', 'NOUN', 'PUNCT']","[True, False, False, False, False]"
